Airport,longitude,latitude,Heading,Tilt,Range,population
Kaifeng 开封,114.3530999,34.75738231,-2.379582559,5.50E-12,17064.12987,0
Dengzhou 邓州,111.8766385,32.970057,-3.719161625,8.20E-12,13328.32397,0
Hefei2 合肥2,117.6658893,31.91597623,-0.581799774,2.01E-12,17717.66188,0
Shihezi 石河子,86.10870241,44.32207111,2.737247944,0,8215.758441,0
Hefei 合肥,117.3099274,31.78236505,-0.770209214,0,16198.58594,0
Urumqi 乌鲁木齐,87.50744476,43.88503067,3.711785751,0,18719.9809,0
Korla ,86.13744769,41.70807584,-24.59841009,0,9598.016993,0
Xilinhaote 锡林浩特,115.9489385,43.94740985,-5.628839936,0,32687.20124,0
Hohhot2 呼和浩特2,111.2398675,40.75483663,-8.736930005,0,15657.25297,0
Hohhot 呼和浩特,111.8475026,40.85827848,-8.317109042,0,31826.85731,0
Baotou 包头,110.0138232,40.56404713,-9.535028734,0,14449.67527,0
Zhangjiakou 张家口,114.9565302,40.72102925,-5.991128101,0,23285.27159,0
Chaoyang 朝阳,120.4733524,41.55512171,-2.410817367,0,27711.58783,0
Yanqing 延庆,116.1226402,40.49734703,-5.234456958,0,23285.27159,0
Siping 四平,124.3220685,43.16486085,0.297437723,0,23989.54695,0
Dandong2 丹东2,124.1745529,39.94954841,4.616598871,5.32E-11,30413.52317,0
Dandong 丹东,124.2875803,40.03014766,4.689135727,5.18E-11,30413.52317,0
Gongzhuliong 公主岭,124.8419354,43.52825974,0.6539594,0,21887.2426,0
Wafandian 瓦房店,121.8153361,39.62651876,3.109638519,4.84E-11,30416.4592,0
Yanji 延吉,129.4751191,42.87424945,8.177721565,4.07E-11,27140.92727,0
Qiqihar 齐齐哈尔,123.9454592,47.2332599,3.482530103,4.74E-11,40163.54959,0
Changchun 长春,125.2122501,43.91531944,0.857528811,0,20611.7021,0
Jilin 吉林,126.4013738,43.97569383,1.686491799,0,44935.86458,0
Dalian-Jinzhou2 大连 锦州2,122.1062118,39.24321676,3.2947654,4.84E-11,30416.4592,0
Pulandian,122.0325723,39.44054927,3.247923683,5.24E-11,30416.4592,0
Dalian-Jinzhou 锦州,121.7744034,39.26436649,3.084985187,4.57E-11,30416.4592,0
Dalian 大连,121.57872,38.97143361,2.961790372,4.98E-11,30416.4592,0
Lvshun 旅顺,121.2550533,38.91068307,2.758435624,6.13E-11,7555.100332,0
Mudanjiang 牡丹江,129.6062884,44.54684261,5.121034185,2.52E-12,22540.7019,0
Jiamusi 佳木斯,130.4371749,46.78771199,7.826551105,0,25779.9649,0
Harbin2 哈尔滨2,126.6729521,45.60134923,5.108927363,0,16601.61414,0
Xiangfan 襄樊,112.2938766,32.15879426,2.345112595,4.65E-11,16629.57888,0
Harbin,126.2453618,45.63076947,-11.44281391,5.08E-11,8220.665396,0
Changde 常德,111.6454229,28.92239725,2.042483448,4.53E-11,12292.53464,0
Yichang 宜昌,111.4566842,30.53616666,1.91854944,3.69E-11,21623.1023,0
Shashi 沙市,112.2534769,30.31946415,2.321762352,4.05E-11,21623.856,0
Xiaogan 孝感,113.9119827,30.95593948,3.197222324,5.26E-11,8137.917078,0
Wuhan Wanjiadun (Abandoned) 武汉王家墩,114.2624574,30.60272722,3.375286458,5.35E-11,11136.09135,0
Wuhan 武汉,114.2423008,30.77484232,3.364764132,5.41E-11,23757.84917,0
Changsha 长沙,113.2492917,28.18060618,2.881196892,4.79E-11,21145.39877,0
Changsha 长沙,112.9738959,28.06516142,2.751570018,5.32E-11,20354.69945,0
Zhangshu 樟树,115.5437276,28.01940731,3.949376966,5.02E-11,20738.08873,0
Nanchang 南昌3,115.9358863,28.42624514,4.134397254,4.56E-11,23281.41026,0
Nanchang 南昌,115.9486788,28.6208652,4.139445906,4.44E-11,23364.917,0
Nanchang 南昌,115.9135923,28.83441731,4.122432264,4.46E-11,46876.65503,0
Lushan 庐山,115.8144479,29.5077184,4.074908761,4.57E-11,21961.5753,0
Jindezheng 景德镇,117.1906363,29.34873266,4.752766191,4.59E-11,19559.44871,0
Huangshan 黄山,118.2421371,29.72630861,5.27732529,5.22E-11,23371.34131,0
Anqing 安庆,117.0882866,30.57105553,4.70003186,4.74E-11,19359.9326,0
Wuhu 芜湖,118.421942,31.37870319,5.385766826,4.64E-11,19359.16409,0
Nanjing 南京,118.9090049,31.77536269,5.641518885,4.58E-11,38838.92483,0
Nanjing Dajiaochang 南京大校场,118.8119341,31.97800726,5.590436161,5.11E-11,38838.92483,0
Changzhou 常州,119.762721,31.89597261,6.092456206,4.79E-11,38838.92483,0
Hangzhou Xiaoshan 杭州萧山,120.5374918,30.20840373,6.492699696,4.74E-11,61789.51898,0
Hangzhou Mianqiao 杭州,120.3327847,30.37398936,6.389664585,4.87E-11,61789.51898,0
Jiaxing 嘉兴,120.6564426,30.71272802,6.555066907,4.87E-11,61789.51898,0
Shanghai Baoshan (Abandoned) 上海宝山,121.4145288,31.31919964,6.94483144,4.11E-11,3675.184958,0
Shanghai2,121.4698459,31.16392058,6.973458398,4.42E-11,16112.45719,0
